"azithromycin_1.75mM"	"azithromycin_2mM"
"AIP5"	0.0140610666865921	0.316328731219806
"AIR1"	-0.282038063523329	-0.223134215944771
"AIR2"	-0.406613618447965	0.141290999052354
"AKL1"	0.385650456221905	1.21136660994059
"AKR1"	0.0947139338287428	-0.203747922305724
"AKR2"	0.131498792840716	0.0214159047481481
"ALB1"	-0.0436389662726457	-0.367999480103475
"ALD2"	-0.405005024408469	-0.332533393540693
"ALD3"	0.0796088383154802	0.0255950621207232
"ALD4"	0.142312835587733	0.00936977687594614
"ALD5"	0.755493123408763	0.63077377658945
"ALD6"	0.76713488805245	1.29144294541431
"ALE1"	-0.195584709260472	0.0338766693570184
"ALF1"	-0.538274960930085	-0.430617101132253
"ALG12"	0.0648407240254425	-0.103404618871236
"ALG3"	0.176357434327317	-0.157351688629629
"ALG5"	-0.152336745787831	0.0676992224777242
"ALG6"	0.290672339307426	0.1758094911868
"ALG8"	0.29215385654369	0.337635952884883
"ALG9"	0.00584531040166389	-0.0159736561384464
"ALK1"	-0.0669231981204816	-0.00988953909353296
"ALK2"	-0.406985992219241	-0.46088961639462
"ALO1"	0.136205979138804	-0.357377808850556
"ALP1"	0.114439647822765	0.246293228984418
"ALR2"	-0.199533506598787	0.0491681707164558
"ALT1"	-1.9400034759313	-2.13062659554807
"ALT2"	0.0907588201882865	-0.103974560212645
"ALY1"	0.0228006946093586	0.0571900345667592
"ALY2"	-0.100950624316263	0.0900695571796261
"AMA1"	-0.409294308162771	-0.100088933826614
"AMD1"	0.00195960540734398	0.302034000360782
"AMD2"	0.339437942059983	0.0149736696574554
"AMF1"	0.0337522915529501	-0.144142665452726
"AMN1"	-0.285876391904342	0.117283538602488
"AMS1"	0.146774971948188	0.0499589561206271
"ANB1"	-0.208916363191534	0.00673864746385383
"ANP1"	0.145160799512876	-0.0205096862404843
"ANR2"	0.00406921652220349	0.112719113008425
"ANS1"	0.0331790894011581	0.0794814854674213
"ANT1"	-0.193092570203695	-0.343041642093892
"ANY1"	0.337080394115673	-0.0710660346176474
"APA1"	-0.116078935278416	-0.133743889279862
"APA2"	-0.0348258860643857	-0.181030648093132
"APC9"	0.0606680732593387	0.316713705308504
"APD1"	0.124820620278686	0.627444154910977
"APE1"	-0.0850773534192639	0.00818969426295279
"APE2"	0.0173871126912023	0.20318489037794
"APE3"	-0.0314561692525305	0.0115677186317573
"APE4"	-0.0269081028843943	0.00819419985154653
"API2"	0.348131449592492	0.159759405011904
"APJ1"	-0.31864289645284	-0.0853127316039718
"APL1"	0.200949531108594	0.239362192014281
"APL2"	0.0462562021234466	0.161557593121242
"APL3"	-0.0996455531930917	-0.25317074088805
"APL4"	0.0410648197832633	0.296759474140214
"APL5"	0.793882031750249	0.852271008847622
"APL6"	0.440688997831909	0.933273775860435
"APM1"	0.00644367866810434	0.176802020114436
"APM2"	0.296291998755934	-0.196018640421755
"APM3"	0.0253904993453536	0.254014159757237
"APM4"	-0.289537583951112	-0.137853334504255
"APN1"	0.342347473514273	0.403087034528142
"APN2"	0.158957155412101	0.0873100623175682
"APP1"	-0.114186322351141	0.0925729991890107
"APQ12"	NA	NA
"APQ13"	-0.0802986214420686	-1.53118917729923
"APS1"	0.0342960389504478	-0.0513749377858093
"APS2"	0.143084927798124	0.0742702116455878
"APS3"	0.532308490055972	0.843309125656278
"APT1"	-0.0244033084925352	-0.316385516980861
"APT2"	-0.780424829836264	-0.257463007131206
"AQR1"	-0.0857243185351717	0.204165096178542
"AQY1"	-0.158569582842156	-0.110249225577213
"AQY2"	-0.179171262095198	-0.0815239405073153
"AQY3"	0.0983574284517765	0.280449457806102
"ARA1"	0.305184745461999	0.1897601154782
"ARA2"	0.0606424514594948	-0.2936380062896
"ARC1"	-0.0986636483153437	-0.659574868924294
"ARC18"	0.143886603654296	-0.0529768739192394
"ARD1"	-0.000829233606450505	-0.0135337843555216
"ARE1"	0.0293490639309397	-0.0387664447625468
"ARE2"	-0.0244938316373325	-0.0491156378447753
"ARF1"	1.00995538017121	0.61302254299457
"ARF2"	0.125885488080972	0.352037327940233
"ARF3"	0.129859984465444	0.203504813418156
"ARG1"	7.40227761134425	7.35953567552021
"ARG2"	6.50078084533853	5.0941355303924
"ARG3"	6.89410827400756	6.19535487482317
